X,Y,Estado presente,Estado presente_bit_3,Estado presente_bit_2,Estado presente_bit_1,Estado presente_bit_0,Estado siguiente,Estado siguiente_bit_3,Estado siguiente_bit_2,Estado siguiente_bit_1,Estado siguiente_bit_0
0,0,0,0,0,0,0,0,0,0,0,0
0,0,1,0,0,0,1,0,0,0,0,0
0,0,2,0,0,1,0,0,0,0,0,0
0,0,3,0,0,1,1,0,0,0,0,0
0,0,4,0,1,0,0,0,0,0,0,0
0,0,5,0,1,0,1,4,0,1,0,0
0,0,6,0,1,1,0,4,0,1,0,0
0,0,7,0,1,1,1,4,0,1,0,0
0,0,8,1,0,0,0,4,0,1,0,0
0,0,9,1,0,0,1,8,1,0,0,0
0,0,10,1,0,1,0,8,1,0,0,0
0,0,11,1,0,1,1,8,1,0,0,0
0,0,12,1,1,0,0,8,1,0,0,0
0,0,13,1,1,0,1,12,1,1,0,0
0,0,14,1,1,1,0,12,1,1,0,0
0,0,15,1,1,1,1,12,1,1,0,0
0,1,0,0,0,0,0,0,0,0,0,0
0,1,1,0,0,0,1,1,0,0,0,1
0,1,2,0,0,1,0,2,0,0,1,0
0,1,3,0,0,1,1,3,0,0,1,1
0,1,4,0,1,0,0,4,0,1,0,0
0,1,5,0,1,0,1,5,0,1,0,1
0,1,6,0,1,1,0,6,0,1,1,0
0,1,7,0,1,1,1,7,0,1,1,1
0,1,8,1,0,0,0,8,1,0,0,0
0,1,9,1,0,0,1,9,1,0,0,1
0,1,10,1,0,1,0,10,1,0,1,0
0,1,11,1,0,1,1,11,1,0,1,1
0,1,12,1,1,0,0,12,1,1,0,0
0,1,13,1,1,0,1,13,1,1,0,1
0,1,14,1,1,1,0,14,1,1,1,0
0,1,15,1,1,1,1,15,1,1,1,1
1,0,0,0,0,0,0,15,1,1,1,1
1,0,1,0,0,0,1,15,1,1,1,1
1,0,2,0,0,1,0,15,1,1,1,1
1,0,3,0,0,1,1,15,1,1,1,1
1,0,4,0,1,0,0,15,1,1,1,1
1,0,5,0,1,0,1,15,1,1,1,1
1,0,6,0,1,1,0,15,1,1,1,1
1,0,7,0,1,1,1,15,1,1,1,1
1,0,8,1,0,0,0,15,1,1,1,1
1,0,9,1,0,0,1,15,1,1,1,1
1,0,10,1,0,1,0,15,1,1,1,1
1,0,11,1,0,1,1,15,1,1,1,1
1,0,12,1,1,0,0,15,1,1,1,1
1,0,13,1,1,0,1,15,1,1,1,1
1,0,14,1,1,1,0,15,1,1,1,1
1,0,15,1,1,1,1,15,1,1,1,1
1,1,0,0,0,0,0,3,0,0,1,1
1,1,1,0,0,0,1,3,0,0,1,1
1,1,2,0,0,1,0,3,0,0,1,1
1,1,3,0,0,1,1,6,0,1,1,0
1,1,4,0,1,0,0,6,0,1,1,0
1,1,5,0,1,0,1,6,0,1,1,0
1,1,6,0,1,1,0,9,1,0,0,1
1,1,7,0,1,1,1,9,1,0,0,1
1,1,8,1,0,0,0,9,1,0,0,1
1,1,9,1,0,0,1,12,1,1,0,0
1,1,10,1,0,1,0,12,1,1,0,0
1,1,11,1,0,1,1,12,1,1,0,0
1,1,12,1,1,0,0,15,1,1,1,1
1,1,13,1,1,0,1,15,1,1,1,1
1,1,14,1,1,1,0,15,1,1,1,1
1,1,15,1,1,1,1,0,0,0,0,0
